id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
337,Air Strike,Hindi,3.2,2018,18+,97.0
338,Lights Out,Tamil,6.3,2016,18+,80.0
339,The Burning Hell,English,3.6,1974,NR,59.0
340,Room,English,8.1,2015,16+,113.0
342,Kayamkulam Kanaran,Malayalam,3.9,2002,NR,114.0
345,Punjab Singh,Punjabi,6.2,2018,13+,150.0
347,Her,English,8.0,2014,18+,121.0
348,The Matrix,English,8.7,1999,18+,136.0
349,Chingari,Kannada,5.6,2012,13+,127.0
350,Bobby Jasoos,Hindi,5.5,2014,All,116.0
351,Fanaa,Hindi,7.2,2006,13+,168.0
352,Bhoot Part One - The Haunted Ship,Hindi,5.4,2020,16+,110.0
353,Gavthi,Marathi,7.5,2018,NR,152.0
354,Rammstein in Amerika - Live from Madison Square Garden,English,8.7,2015,18+,101.0
356,Maaveeran,Tamil,7.6,1986,NR,156.0
357,Mithai,Telugu,4.3,2019,13+,137.0
359,Aaron,Marathi,7.3,2018,13+,115.0
360,Jack Ryan: Shadow Recruit,Hindi,6.2,2014,13+,105.0
362,Texas Chainsaw Massacre,Hindi,4.8,2013,18+,88.0
363,Adhinayakudu,Telugu,3.6,2012,18+,151.0
364,Mutthanna,Kannada,8.6,1994,NR,146.0
366,Jakkanna,Telugu,6.0,2016,13+,136.0
367,Elysium,Hindi,6.6,2013,18+,109.0
368,Born To Race,Marathi,6.0,2012,16+,98.0
369,Bandobast,Telugu,6.3,2019,13+,163.0
370,Gamer,Telugu,5.8,2009,18+,94.0
371,3 Monkeys,Telugu,6.5,2020,13+,128.0
372,Prem Ratan Dhan Payo,Hindi,4.4,2015,All,164.0
373,Ramji Rao Speaking,Malayalam,8.5,1989,NR,140.0
374,Nazrana Pyar Ka,Hindi,4.9,1980,NR,143.0
375,Endless Love,English,5.0,1981,18+,115.0
376,Apple Cake,Kannada,6.5,2018,13+,142.0
378,100,Tamil,6.5,2019,13+,136.0
381,Sketch,Tamil,5.7,2018,13+,131.0
383,Pune Via Bihar,Marathi,4.6,2014,13+,127.0
384,The Grudge 3 (2008),English,4.7,2009,18+,90.0
385,Roaring Currents,English,7.1,2014,18+,105.0
387,K.G.F: Chapter 1 (Hindi),Hindi,8.2,2018,13+,154.0
388,Ek Unad Divas,Marathi,8.3,2005,All,91.0
389,Yatra (Telugu),Telugu,8.2,2019,All,125.0
390,Sagaa,Tamil,5.9,2019,13+,119.0
391,Ishq Garaari,Punjabi,5.6,2013,13+,125.0
393,Charlie and the Chocolate Factory,English,6.6,2005,All,114.0
394,Kalikkoottukar,Malayalam,3.5,2019,All,144.0
396,Hangover : A Mistake of Last Peg,Kannada,7.1,2019,13+,99.0
398,Shakthi,Telugu,6.4,2019,All,143.0
