"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
497,"Odeya","Kannada",4.4,2019,"13+",162
498,"Bal Ganesh Part II","Hindi",6.8,2009,"All",73
499,"The White Haired Witch Of Lunar Kingdom","Hindi",5.4,2016,"13+",99
500,"Khud-Daar","Hindi",6.9,1982,"All",163
501,"Naach Nagini Naach Re","Bengali",5.7,2017,"13+",157
502,"Contract To Kill","Tamil",3.4,2016,"13+",88
503,"And Soon the Darkness","English",5.2,2010,"18+",91
506,"Oram Po","Tamil",6.7,2007,"All",109
507,"Raja Babu","Bengali",6.3,2017,"13+",165
508,"Dharani Mandala Madhyadolage","Kannada",7.5,1983,"NR",146
510,"Guru Dakshina","Bengali",7.2,2017,"13+",146
511,"Rojulu Marayi (New)","Telugu",5.8,2016,"13+",131
512,"Black and Blue","English",6.4,2019,"18+",107
513,"The Warrior's Way","English",6.3,2010,"18+",96
514,"Navri Mile Navryala","Marathi",7.6,1984,"All",142
515,"Suhaagan","Hindi",6.1,1986,"All",144
517,"Chitralahari","Telugu",7.1,2019,"All",119
518,"Art of Darkness","English",3.2,2020,"13+",85
520,"6 - 5  2","Hindi",4.2,2014,"13+",103
521,"Tahaan","Hindi",7.1,2008,"All",94
523,"Aatishbaazi Ishq","Punjabi",5.4,2016,"13+",145
524,"Resident Evil: Extinction","English",6.3,2007,"18+",94
525,"Harry Potter and the Chamber of Secrets","English",7.4,2002,"All",160
526,"Aanandam","Malayalam",7.2,2016,"All",118
527,"Kaiyethum Doorath","Malayalam",3.4,2002,"NR",146
528,"Talaash - The Hunt Begins","Hindi",4.7,2003,"13+",152
529,"Cappuccino","Marathi",5.4,2014,"All",122
530,"Western Stars","English",7.5,2019,"13+",83
531,"Enakku 20 Unakku 18","Tamil",5.3,2003,"13+",157
533,"Sawaal","Kannada",6.1,2014,"NR",118
535,"Born To Race : Fast Track","Marathi",5.3,2014,"16+",97
536,"The Lodge","Telugu",6.1,2020,"18+",108
538,"Driven to Kill","English",5.1,2009,"18+",98
540,"Antim Swash Sundar","Bengali",5.7,2010,"NR",103
541,"Badlapur","Hindi",7.4,2015,"NR",134
542,"An American Girl Story: Summer Camp, Friends For Life [Ultra HD]","English",6.4,2017,"All",32
543,"Dreams","Tamil",5.5,2004,"13+",149
544,"Lucy","English",6.4,2014,"18+",89
547,"10 Kalpanakal","Malayalam",5.8,2016,"13+",123
548,"The Trip to Bountiful","English",7.5,1985,"7+",107
549,"Humraaz","Hindi",6.4,2002,"13+",166
553,"The Little Traitor","English",7,2009,"13+",89
554,"Bad Boys","Hindi",6.9,1995,"13+",118
555,"Aadi Lakshmi Puraana","Kannada",6.4,2019,"13+",121
556,"Royal Deceit","English",5.6,1994,"18+",107
557,"GIRGITLE","Kannada",6.4,2019,"18+",146
558,"Overcomer","English",6.7,2019,"7+",119
559,"Desaadanam","Malayalam",7.2,1996,"All",130
560,"Blue Moon","Kannada",7.7,2013,"NR",109
561,"Kala Bazaar","Hindi",5.5,1989,"All",144
563,"Bojhena Shey Bojhena","Bengali",7.6,2018,"13+",140
565,"Men in Black","Hindi",7.3,1997,"13+",97
566,"Vinci Da","Bengali",7.3,2019,"16+",113
568,"The Upside","English",7,2019,"16+",125
571,"Kelor Kirti","Bengali",4.2,2017,"13+",153
572,"Fidaa","Bengali",4.9,2018,"13+",146
573,"War (Hindi)","Hindi",6.5,2019,"13+",151
574,"Anveshanam","Malayalam",6,2020,"All",99
575,"The Defender","Bengali",4.9,2004,"18+",87
576,"PlayMe Burlesque","English",5.8,2019,"13+",50
577,"Kareeb","Hindi",6.5,1998,"All",148
578,"Sex and Broadcasting","English",6.8,2014,"NR",78
579,"Middle Class Melodies","Telugu",7.7,2020,"16+",135
582,"Don't Breathe","English",7.1,2016,"18+",88
585,"Oru Maravathoor Kanavu","Malayalam",6.9,1998,"All",131
586,"Adimurai","Kannada",5.7,2020,"All",140
587,"Second Best","English",6.8,1994,"13+",105
588,"Yaare Neenu Cheluve","Kannada",8,1998,"13+",140
589,"Ghawre Bairey Aaj","Bengali",6.3,2019,"16+",133
590,"The Incredible Hulk","Hindi",6.7,2008,"13+",112
592,"Anokha Milan","Hindi",6.3,1972,"NR",125
593,"Dekh Kemon Lage","Bengali",4.3,2018,"13+",138
595,"Bermuda Tentacles ( English )","English",3.5,2014,"All",85
597,"Amish Grace","English",7.1,2010,"13+",88
598,"Theeran Adhigaaram Ondru","Tamil",8.2,2017,"13+",156
600,"Harry Potter and the Deathly Hallows: Part 1","English",7.7,2010,"13+",146
601,"Winner","Tamil",6.3,2003,"13+",145
